Observation,Cooks_Distance
487,7.895151043310542e-07
488,0.001217509823130188
489,0.0016082211668193493
490,4.36159149709167e-06
491,0.00021710305342770097
492,0.0013428909527790477
493,2.1586139156925684e-05
494,0.00667425777814191
495,2.3072909924450305e-06
496,0.00014887349504378976
497,0.0003179588098055567
498,0.0004616647638160063
499,0.004474104408104577
500,0.0003087619817902895
501,0.0035755314997657135
502,0.004859046480009095
503,5.7113364722576413e-05
504,6.283416727851946e-05
505,0.0014822376976564903
506,3.927527954764895e-05
507,0.00037539192317954777
508,0.003924830152756793
509,0.0030501858717316777
510,0.00040846175710533485
511,0.0008921277789818534
512,5.042057473159625e-05
513,0.0018986519045542552
514,0.0005256206713904795
515,0.0013681991769731838
516,4.907760173891293e-06
517,0.0002380047909607135
518,0.001689302823055083
519,0.00013482420159944915
520,0.0007418820354304357
521,0.0019195263060398041
522,0.0012048904932515435
523,1.715483312045261e-06
524,0.0003727076854145534
525,8.585774090162999e-05
526,0.0014298492798240988
527,2.9675412612052403e-06
528,0.0058440708859467064
529,0.001410263765080767
530,0.00027851605839965737
531,0.0002663410855455775
532,5.0809641000922135e-09
533,0.004523093448657816
534,0.00017063045671258562
535,0.00021970533792037796
536,0.0006504840639711504
537,1.4132811347471951e-05
538,4.743212912428487e-06
539,1.7289185225001695e-06
540,0.0019187464216772101
541,0.0004809328876141055
542,4.3627948985524285e-05
543,0.00025647659903246556
544,9.548131360543472e-08
545,0.00018302225367990637
546,9.614802366482038e-05
547,0.0010795780813470976
548,0.0013903582523657222
549,5.566877146450009e-06
550,0.0008193984046620126
551,6.581461942536638e-05
552,0.00014555661995596466
553,0.00010765784100804584
554,8.187245749805984e-05
555,0.00012527523885843612
556,4.2105041656083545e-07
557,0.0011520469917293366
558,1.1389806764818836e-06
559,0.00010148957933976625
560,5.542876693244671e-05
561,0.0009593996157453916
562,0.0034591545398868404
563,0.001444752721834096
564,0.00039353271185137785
565,0.00016523053474146583
566,0.0001703768094837058
567,0.00024174714287293592
568,0.007184339688383959
569,0.0016730271095714618
570,0.0008592118297708949
571,0.006357199411101931
572,0.0006475858875375263
