Year,Region,Round,Game,Team_A_Seed,Team_A,Team_A_Score,Team_B_Seed,Team_B,Team_B_Score,Winner,Location
2004,St. Louis,1,8,2,Gonzaga,76,15,Valparaiso,49,1.0,"at Seattle, WA"
2004,St. Louis,2,1,1,Kentucky,75,9,UAB,76,0.0,"at Columbus, OH"
2004,St. Louis,2,2,12,Pacific,63,4,Kansas,78,0.0,"at Kansas City, MO"
2004,St. Louis,2,3,6,Boston College,54,3,Georgia Tech,57,0.0,"at Milwaukee, WI"
2004,St. Louis,2,4,10,Nevada,91,2,Gonzaga,72,1.0,"at Seattle, WA"
2004,St. Louis,3,1,9,UAB,74,4,Kansas,100,0.0,"at St. Louis, MO"
2004,St. Louis,3,2,3,Georgia Tech,72,10,Nevada,67,1.0,"at St. Louis, MO"
2004,St. Louis,4,1,4,Kansas,71,3,Georgia Tech,79,0.0,"at St. Louis, MO"
2004,National,1,1,2,UConn,79,1,Duke,78,1.0,"at San Antonio, TX"
2004,National,1,2,2,Oklahoma State,65,3,Georgia Tech,67,0.0,"at San Antonio, TX"
2004,National,2,1,2,UConn,82,3,Georgia Tech,73,1.0,"at San Antonio, TX"
2005,Albuquerque,1,1,1,Washington,88,16,Montana,77,1.0,"at Boise, ID"
2005,Albuquerque,1,2,8,Pacific,79,9,Pitt,71,1.0,"at Boise, ID"
2005,Albuquerque,1,3,5,Georgia Tech,80,12,George Washington,68,1.0,"at Nashville, TN"
2005,Albuquerque,1,4,4,Louisville,68,13,Louisiana,62,1.0,"at Nashville, TN"
2005,Albuquerque,1,5,6,Texas Tech,78,11,UCLA,66,1.0,"at Tucson, AZ"
2005,Albuquerque,1,6,3,Gonzaga,74,14,Winthrop,64,1.0,"at Tucson, AZ"
2005,Albuquerque,1,7,7,West Virginia,63,10,Creighton,61,1.0,"at Cleveland, OH"
2005,Albuquerque,1,8,2,Wake Forest,70,15,Chattanooga,54,1.0,"at Cleveland, OH"
2005,Albuquerque,2,1,1,Washington,97,8,Pacific,79,1.0,"at Boise, ID"
2005,Albuquerque,2,2,5,Georgia Tech,54,4,Louisville,76,0.0,"at Nashville, TN"
2005,Albuquerque,2,3,6,Texas Tech,71,3,Gonzaga,69,1.0,"at Tucson, AZ"
2005,Albuquerque,2,4,7,West Virginia,111,2,Wake Forest,105,1.0,"at Cleveland, OH"
2005,Albuquerque,3,1,1,Washington,79,4,Louisville,93,0.0,"at Albuquerque, NM"
2005,Albuquerque,3,2,6,Texas Tech,60,7,West Virginia,65,0.0,"at Albuquerque, NM"
2005,Albuquerque,4,1,4,Louisville,93,7,West Virginia,85,1.0,"at Albuquerque, NM"
2005,Austin,1,1,1,Duke,57,16,Delaware State,46,1.0,"at Charlotte, NC"
2005,Austin,1,2,8,Stanford,70,9,Mississippi State,93,0.0,"at Charlotte, NC"
2005,Austin,1,3,5,Michigan State,89,12,Old Dominion,81,1.0,"at Worcester, MA"
2005,Austin,1,4,4,Syracuse,57,13,Vermont,60,0.0,"at Worcester, MA"
2005,Austin,1,5,6,Utah,60,11,UTEP,54,1.0,"at Tucson, AZ"
2005,Austin,1,6,3,Oklahoma,84,14,Niagara,67,1.0,"at Tucson, AZ"
2005,Austin,1,7,7,Cincinnati,76,10,Iowa,64,1.0,"at Indianapolis, IN"
2005,Austin,1,8,2,Kentucky,72,15,Eastern Kentucky,64,1.0,"at Indianapolis, IN"
2005,Austin,2,1,1,Duke,63,9,Mississippi State,55,1.0,"at Charlotte, NC"
2005,Austin,2,2,5,Michigan State,72,13,Vermont,61,1.0,"at Worcester, MA"
2005,Austin,2,3,6,Utah,67,3,Oklahoma,58,1.0,"at Tucson, AZ"
2005,Austin,2,4,7,Cincinnati,60,2,Kentucky,69,0.0,"at Indianapolis, IN"
2005,Austin,3,1,1,Duke,68,5,Michigan State,78,0.0,"at Austin, TX"
2005,Austin,3,2,6,Utah,52,2,Kentucky,62,0.0,"at Austin, TX"
2005,Austin,4,1,5,Michigan State,94,2,Kentucky,88,1.0,"at Austin, TX"
2005,Chicago,1,1,1,Illinois,67,16,FDU,55,1.0,"at Indianapolis, IN"
2005,Chicago,1,2,8,Texas,57,9,Nevada,61,0.0,"at Indianapolis, IN"
2005,Chicago,1,3,5,Alabama,73,12,Milwaukee,83,0.0,"at Cleveland, OH"
2005,Chicago,1,4,4,Boston College,85,13,Penn,65,1.0,"at Cleveland, OH"
2005,Chicago,1,5,6,LSU,68,11,UAB,82,0.0,"at Boise, ID"
2005,Chicago,1,6,3,Arizona,66,14,Utah State,53,1.0,"at Boise, ID"
2005,Chicago,1,7,7,Southern Illinois,65,10,Saint Mary's,56,1.0,"at Oklahoma City, OK"
2005,Chicago,1,8,2,Oklahoma State,63,15,Southeastern Louisiana,50,1.0,"at Oklahoma City, OK"
2005,Chicago,2,1,1,Illinois,71,9,Nevada,59,1.0,"at Indianapolis, IN"
2005,Chicago,2,2,12,Milwaukee,83,4,Boston College,75,1.0,"at Cleveland, OH"
2005,Chicago,2,3,11,UAB,63,3,Arizona,85,0.0,"at Boise, ID"
2005,Chicago,2,4,7,Southern Illinois,77,2,Oklahoma State,85,0.0,"at Oklahoma City, OK"
2005,Chicago,3,1,1,Illinois,77,12,Milwaukee,63,1.0,"at Rosemont, IL"
2005,Chicago,3,2,3,Arizona,79,2,Oklahoma State,78,1.0,"at Rosemont, IL"
2005,Chicago,4,1,1,Illinois,90,3,Arizona,89,1.0,"at Rosemont, IL"
